Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1187,40,91.66677856445312,72.89495086669922,-798.2235717773438,0.0,0.0,0.0,0.0,0.0
1188,36,121.35652923583984,-125.90198516845703,-286.26513671875,1.0,1.0,1.0,1.0,1.0
1189,15,116.44080352783203,44.99236297607422,452.9528503417969,0.0,0.0,1.0,0.0,0.0
1189,32,156.20565795898438,21.463165283203125,58.861934661865234,1.0,1.0,1.0,1.0,1.0
1190,6,139.84461975097656,-132.52845764160156,-691.2286376953125,1.0,1.0,1.0,1.0,1.0
1190,21,263.015869140625,3.399925947189331,183.24977111816406,1.0,1.0,1.0,1.0,1.0
1190,35,289.6523132324219,-52.86367416381836,-387.1947021484375,0.0,0.0,0.0,0.0,0.0
1191,33,134.95201110839844,-50.381980895996094,408.71923828125,1.0,1.0,1.0,1.0,1.0
1197,33,253.3811798095703,43.30207061767578,-819.4089965820312,0.0,0.0,0.0,0.0,0.0
12,8,276.4416809082031,6.330615520477295,543.2431030273438,1.0,1.0,1.0,1.0,1.0
120,10,220.54547119140625,15.11882209777832,-262.0293273925781,1.0,1.0,1.0,1.0,1.0
120,25,257.7321472167969,-9.414472579956055,-163.50228881835938,0.0,1.0,1.0,1.0,1.0
1200,14,291.53106689453125,-34.51335906982422,553.7138061523438,0.0,0.0,0.0,0.0,0.0
1203,8,277.0559387207031,-139.9919891357422,-52.61900329589844,1.0,1.0,1.0,1.0,1.0
1203,9,226.31898498535156,-36.87754440307617,451.0028381347656,0.0,1.0,1.0,1.0,1.0
1203,28,101.97879791259766,-130.04612731933594,-719.4261474609375,1.0,1.0,1.0,1.0,1.0
1204,12,313.4550476074219,101.85993194580078,506.4533996582031,0.0,0.0,0.0,0.0,0.0
1204,19,243.6533966064453,-86.59188842773438,-780.8424682617188,1.0,1.0,1.0,1.0,1.0
1204,25,253.4351806640625,-60.0694465637207,495.3706359863281,0.0,1.0,1.0,0.0,1.0
1206,11,218.05972290039062,20.891050338745117,-353.9678039550781,0.0,0.0,0.0,0.0,0.0
1208,29,288.2347717285156,98.24583435058594,280.722412109375,0.0,0.0,0.0,0.0,0.0
1209,34,218.4024200439453,-29.929773330688477,271.23333740234375,1.0,1.0,1.0,1.0,1.0
1211,4,293.9103088378906,5.824986457824707,209.15139770507812,1.0,1.0,1.0,1.0,1.0
1212,9,329.838623046875,4.401610851287842,-740.8588256835938,1.0,1.0,1.0,1.0,1.0
1214,11,280.18719482421875,-38.43003845214844,-491.473388671875,0.0,1.0,1.0,1.0,1.0
1216,16,159.15969848632812,-18.42232894897461,-155.2183380126953,1.0,1.0,1.0,1.0,1.0
1216,32,320.3031921386719,-87.819580078125,-291.1319885253906,0.0,0.0,0.0,0.0,0.0
1217,7,244.42955017089844,29.711599349975586,-627.918701171875,1.0,1.0,1.0,1.0,1.0
1219,12,267.63092041015625,-73.89315795898438,311.5482482910156,1.0,1.0,1.0,1.0,1.0
122,14,272.41046142578125,6.306485652923584,-491.8955993652344,1.0,1.0,1.0,1.0,1.0
122,27,217.23329162597656,-55.02409744262695,149.1136932373047,1.0,1.0,1.0,1.0,1.0
122,40,277.603271484375,-107.22852325439453,302.5039367675781,1.0,0.0,0.0,1.0,1.0
1220,29,266.8074951171875,-82.16023254394531,-96.2894515991211,1.0,1.0,1.0,1.0,1.0
1222,40,240.1525115966797,32.38315200805664,-425.7874755859375,1.0,0.0,0.0,0.0,0.0
1223,8,180.50100708007812,-147.39537048339844,-683.2909545898438,1.0,1.0,1.0,1.0,1.0
1224,5,171.77203369140625,32.56803894042969,-155.51881408691406,1.0,1.0,0.0,0.0,0.0
1224,22,153.6101837158203,-23.28386688232422,362.8534851074219,0.0,0.0,0.0,0.0,0.0
1225,5,137.30296325683594,26.39067840576172,-179.4841766357422,1.0,1.0,0.0,1.0,1.0
1228,13,248.22662353515625,2.7346699237823486,145.41769409179688,0.0,0.0,0.0,0.0,0.0
1232,7,144.251708984375,-150.30044555664062,189.36854553222656,0.0,1.0,1.0,1.0,1.0
1232,30,253.8555908203125,52.68950653076172,533.77490234375,1.0,1.0,1.0,1.0,1.0
1234,3,271.3468933105469,48.54277420043945,-49.724639892578125,0.0,1.0,1.0,1.0,1.0
1234,38,159.68923950195312,-46.67397689819336,-827.4251708984375,0.0,1.0,1.0,1.0,1.0
1235,36,303.85760498046875,-137.8059539794922,174.42601013183594,1.0,1.0,1.0,1.0,1.0
1236,21,283.5450134277344,-82.64473724365234,-527.3359985351562,0.0,1.0,1.0,1.0,1.0
1237,24,140.55584716796875,49.83237838745117,136.18063354492188,1.0,1.0,1.0,1.0,1.0
1239,23,239.96458435058594,-25.493432998657227,706.6561889648438,0.0,0.0,0.0,0.0,0.0
124,13,296.0238342285156,-134.01239013671875,342.87933349609375,0.0,0.0,0.0,0.0,0.0
1241,7,155.9231719970703,-45.46479415893555,368.48260498046875,1.0,0.0,0.0,0.0,0.0
1242,26,151.1227264404297,-126.6187744140625,-786.9613647460938,1.0,1.0,1.0,1.0,1.0
1242,28,223.33714294433594,39.36838912963867,-183.7456817626953,1.0,1.0,1.0,1.0,1.0
1243,30,253.69754028320312,-110.11875915527344,-700.2710571289062,1.0,1.0,1.0,1.0,1.0
1244,10,210.10501098632812,108.85513305664062,-291.90960693359375,0.0,0.0,0.0,0.0,0.0
1245,32,204.95907592773438,-74.0695571899414,392.2921447753906,1.0,1.0,1.0,1.0,1.0
